Czas trwania meczu	Tryb wyszukiwanej gry
2018-10-26 19:08:36 GMT	Uproszczony
2018-10-25 19:54:39 GMT	Uproszczony
2018-10-25 19:34:04 GMT	Uproszczony
2018-10-25 19:12:26 GMT	Uproszczony
2018-10-24 19:46:44 GMT	Uproszczony
2018-10-24 19:19:45 GMT	Uproszczony
2018-10-24 19:05:38 GMT	Uproszczony
2018-10-23 19:11:36 GMT	Deathmatch
2018-10-23 19:00:46 GMT	Deathmatch
2018-10-22 18:18:10 GMT	Deathmatch
2018-10-22 18:07:01 GMT	Deathmatch
2018-10-21 19:36:33 GMT	Uproszczony
2018-10-21 12:57:48 GMT	Uproszczony
2018-10-20 20:59:51 GMT	Uproszczony
2018-10-20 20:33:16 GMT	Uproszczony
2018-10-20 19:18:11 GMT	Uproszczony
2018-10-20 18:58:27 GMT	Uproszczony
2018-10-20 18:18:26 GMT	Uproszczony
2018-10-20 17:49:18 GMT	Uproszczony
2018-10-20 13:12:37 GMT	Uproszczony
2018-10-20 12:49:44 GMT	Uproszczony
2018-10-20 12:27:33 GMT	Uproszczony
2018-10-20 11:32:14 GMT	Deathmatch
2018-10-20 11:21:10 GMT	Deathmatch
2018-10-20 11:10:05 GMT	Deathmatch
2018-10-19 21:45:19 GMT	Uproszczony
2018-10-19 21:12:39 GMT	Uproszczony
2018-10-19 21:03:55 GMT	Deathmatch
2018-10-18 21:11:45 GMT	Deathmatch
2018-10-18 21:00:41 GMT	Deathmatch
2018-10-18 20:56:33 GMT	Deathmatch
2018-10-18 19:55:16 GMT	Uproszczony
2018-10-18 19:11:25 GMT	Deathmatch
2018-10-18 19:00:21 GMT	Deathmatch
2018-10-18 18:09:45 GMT	Deathmatch
2018-10-18 17:58:43 GMT	Deathmatch
2018-10-18 17:47:35 GMT	Deathmatch
2018-10-17 20:25:59 GMT	Deathmatch
2018-10-17 20:14:54 GMT	Deathmatch
2018-10-17 20:03:19 GMT	Uproszczony
2018-10-17 19:43:22 GMT	Uproszczony
2018-10-14 20:46:23 GMT	Uproszczony
2018-10-14 20:27:32 GMT	Uproszczony
2018-10-14 18:34:27 GMT	Uproszczony
2018-10-14 11:00:44 GMT	Deathmatch
2018-10-14 10:49:40 GMT	Deathmatch
2018-10-14 10:37:48 GMT	Deathmatch
2018-10-13 19:46:15 GMT	Uproszczony
2018-10-13 19:21:36 GMT	Deathmatch
2018-10-13 19:10:31 GMT	Deathmatch
2018-10-13 18:59:27 GMT	Deathmatch
2018-10-13 18:31:02 GMT	Deathmatch
2018-10-13 18:19:58 GMT	Deathmatch
2018-10-13 18:15:53 GMT	Uproszczony
2018-10-12 21:08:14 GMT	Uproszczony
2018-10-12 20:43:11 GMT	Uproszczony
